Value Set Name,External ID,Value Set ID,Code system,Code,Description,Output Reason,Single Soft,Single Hard,Hard,Soft,Only if these Codes are not present,Reason,NDC Required
,,,HCPCS,J2940,"Injection, somatrem, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0080,"Injection, pentamidine isethionate, 300 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0715,"Injection, ceftizoxime sodium, per 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,C9088,"Instillation, bupivacaine and meloxicam, 1 mg/0.03 mg",Included rule,,,,,,,Yes
,,,HCPCS,C9175,"Injection, treosulfan, 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,A2023,"Innovamatrix pd, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,A2014,"Omeza collagen matrix or omeza complete matrix, per 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,A2004,"Xcellistem, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,A4737,"Injectable anesthetic, for dialysis, per 10 ml",Included rule,,,,,,,Yes
,,,HCPCS,C9067,"Gallium ga-68, dotatoc, diagnostic, 0.01 mci",Included rule,,,,,,,Yes
,,,HCPCS,J0223,"Injection, givosiran, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0695,"Injection, ceftolozane 50 mg and tazobactam 25 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7313,"Injection, fluocinolone acetonide, intravitreal implant (iluvien), 0.01 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7171,"Injection, adamts13, recombinant-krhn, 10 iu",Included rule,,,,,,,Yes
,,,HCPCS,J3316,"Injection, triptorelin, extended-release, 3.75 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9057,"Injection, copanlisib, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1301,"Injection, edaravone, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7342,"Instillation, ciprofloxacin otic suspension, 6 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0517,"Injection, benralizumab, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,C9462,"Injection, delafloxacin, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1833,"Injection, isavuconazonium, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2351,"Injection, ocrelizumab, 1 mg and hyaluronidase-ocsq",Included rule,,,,,,,Yes
,,,HCPCS,J2280,"Injection, moxifloxacin, 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2170,"Injection, mecasermin, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1951,"Injection, leuprolide acetate for depot suspension (fensolvi), 0.25 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2247,"Injection, micafungin sodium (par pharm) not thereapeutically equivalent to j2248, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1442,"Injection, filgrastim (g-csf), excludes biosimilars, 1 microgram",Included rule,,,,,,,Yes
,,,HCPCS,J1447,"Injection, tbo-filgrastim, 1 microgram",Included rule,,,,,,,Yes
,,,HCPCS,J1449,"Injection, eflapegrastim-xnst, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1160,"Injection, digoxin, up to 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1325,"Injection, epoprostenol, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9376,"Injection, pozelimab-bbfg, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9353,"Injection, margetuximab-cmkb, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9356,"Injection, trastuzumab, 10 mg and hyaluronidase-oysk",Included rule,,,,,,,Yes
,,,HCPCS,J9028,"Injection, nogapendekin alfa inbakicept-pmln, for intravesical use, 1 microgram",Included rule,,,,,,,Yes
,,,HCPCS,J8597,"Antiemetic drug, oral, not otherwise specified",Included rule,,,,,,,Yes
,,,HCPCS,J9033,"Injection, bendamustine hydrochloride, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9011,"Injection, datopotamab deruxtecan-dlnk, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J8612,"Methotrexate (xatmep), oral, 2.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7641,"Flunisolide, inhalation solution, compounded product, administered through dme, unit dose, per milligram",Included rule,,,,,,,Yes
,,,HCPCS,J7645,"Ipratropium bromide, inhalation solution, compounded product, administered through dme, unit dose form, per milligram",Included rule,,,,,,,Yes
,,,HCPCS,J7609,"Albuterol, inhalation solution, compounded product, administered through dme, unit dose, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0740,"Injection, cidofovir, 375 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0725,"Injection, chorionic gonadotropin, per 1,000 usp units",Included rule,,,,,,,Yes
,,,HCPCS,J0738,"Injection, lenacapavir, 1 mg, fda approved prescription, only for use as hiv pre-exposure prophylaxis (not for use as treatment for hiv)",Included rule,,,,,,,Yes
